City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.5167,-28.7,289.14,77,12,3.13,PT,1686446244
1,adamstown,-25.066,-130.1015,293.71,55,53,5.73,PN,1686446244
2,nizhneudinsk,54.9076,99.0276,286.24,96,100,2.93,RU,1686446244
3,papatowai,-46.5619,169.4708,283.15,77,100,1.81,NZ,1686446244
4,puerto ayora,-0.7393,-90.3518,299.57,91,92,4.47,EC,1686446244
5,bethel,41.3712,-73.414,292.94,67,0,1.54,US,1686446244
6,edinburgh of the seven seas,-37.0676,-12.3116,288.52,88,32,8.56,SH,1686446245
7,port-aux-francais,-49.35,70.2167,277.4,69,99,14.69,TF,1686445807
8,grytviken,-54.2811,-36.5092,273.92,97,100,2.96,GS,1686446148
9,whitehorse,60.7161,-135.0538,289.58,33,75,7.72,CA,1686446245
10,albany,42.6001,-73.9662,290.38,74,30,1.96,US,1686446153
11,afaahiti,-17.75,-149.2833,301.08,69,13,5.95,PF,1686446245
12,acapulco de juarez,16.8634,-99.8901,303.05,70,75,3.6,MX,1686446084
13,alofi,-19.0595,-169.9187,299.09,89,21,2.57,NU,1686446246
14,waitangi,-43.9535,-176.5597,286.38,81,100,1.34,NZ,1686446246
15,guerrero,17.6667,-100.0,299.52,63,59,2.81,MX,1686446246
16,gueret,46.1667,1.8667,286.71,99,25,1.1,FR,1686446246
17,margaret river,-33.95,115.0667,286.07,64,100,8.86,AU,1686445760
18,thompson,55.7435,-97.8558,296.24,25,20,4.63,CA,1686445932
19,pontianak,-0.0333,109.3333,301.14,88,40,2.57,ID,1686446246
20,westport,41.1415,-73.3579,294.12,67,0,4.12,US,1686445879
21,kamensk-ural'skiy,56.4185,61.9329,284.05,90,92,4.27,RU,1686445953
22,mount pearl,47.5166,-52.7813,282.12,96,100,4.63,CA,1686445946
23,invercargill,-46.4,168.35,283.22,89,100,2.42,NZ,1686445899
24,arkhangel'sk,64.5401,40.5433,276.79,83,88,1.96,RU,1686446247
25,blackmans bay,-43.0167,147.3167,288.56,67,78,2.89,AU,1686445904
26,viedma,-40.8135,-62.9967,279.67,52,33,6.23,AR,1686445824
27,jaisalmer,26.9147,70.9181,302.7,58,9,9.47,IN,1686446247
28,college,64.8569,-147.8028,294.12,38,75,3.09,US,1686446229
29,ranot,7.7777,100.3213,301.42,74,100,3.23,TH,1686446247
30,avarua,-21.2078,-159.775,300.18,78,40,2.57,CK,1686446247
31,fort bragg,35.139,-79.006,299.06,42,0,3.13,US,1686445980
32,puerto natales,-51.7236,-72.4875,278.3,91,100,7.6,CL,1686445944
33,pisco,-13.7,-76.2167,293.18,73,0,2.57,PE,1686446247
34,qaqortoq,60.7167,-46.0333,277.83,68,100,1.5,GL,1686446248
35,iskateley,67.6803,53.1512,276.28,78,57,8.14,RU,1686446248
36,anadyr,64.75,177.4833,278.43,75,75,7.0,RU,1686446248
37,labytnangi,66.6572,66.4183,282.82,94,100,0.67,RU,1686446248
38,port alfred,-33.5906,26.891,287.25,66,0,4.99,ZA,1686446248
39,klaksvik,62.2266,-6.589,283.66,97,100,3.9,FO,1686446248
40,hawaiian paradise park,19.5933,-154.9731,300.88,70,0,4.12,US,1686446248
41,hede,33.7681,120.2517,297.5,60,0,4.12,CN,1686446248
42,muynoq,43.7683,59.0214,296.22,42,0,8.4,UZ,1686446249
43,la'ie,21.6477,-157.9253,304.13,69,67,3.58,US,1686446249
44,iqaluit,63.7506,-68.5145,275.0,75,75,5.66,CA,1686446249
45,quellon,-43.1167,-73.6167,277.29,93,0,0.0,CL,1686446249
46,sarichioi,44.95,28.85,287.27,82,82,0.0,RO,1686446249
47,jamestown,42.097,-79.2353,292.95,48,40,2.06,US,1686446249
48,quiberon,47.4841,-3.1196,291.52,87,85,3.76,FR,1686446249
49,talnakh,69.4865,88.3972,279.38,51,25,2.0,RU,1686446249
50,dudinka,69.4058,86.1778,279.61,44,75,3.8,RU,1686446250
51,tsiombe,-25.3,45.4833,290.63,95,0,2.02,MG,1686446250
52,carutapera,-1.195,-46.02,297.79,92,42,2.69,BR,1686446250
53,inhambane,-23.865,35.3833,292.96,70,0,3.74,MZ,1686446250
54,salalah,17.0151,54.0924,303.2,79,75,1.54,OM,1686446250
55,galveston,29.3669,-94.9669,304.31,80,40,5.14,US,1686446016
56,santa marta,11.2408,-74.199,298.65,82,49,4.47,CO,1686446250
57,west island,-12.1568,96.8225,298.14,94,100,11.0,CC,1686446250
58,glace bay,46.1969,-59.957,284.24,86,75,4.12,CA,1686446250
59,sitka,57.0531,-135.33,286.09,71,75,3.09,US,1686446251
60,east ballina,-28.8667,153.5833,292.48,72,81,1.8,AU,1686446251
61,stanley,54.868,-1.6985,284.65,91,0,2.06,GB,1686446251
62,coronel dorrego,-38.7187,-61.2873,278.83,55,7,7.1,AR,1686446251
63,ushuaia,-54.8,-68.3,274.96,87,75,14.4,AR,1686446224
64,remire-montjoly,4.9167,-52.2667,298.17,94,0,0.0,GF,1686446251
65,sandnessjoen,66.0217,12.6316,282.44,67,100,3.5,NO,1686446251
66,yakeshi,49.2833,120.7333,290.35,68,10,2.59,CN,1686446251
67,yanam,16.7333,82.2167,303.3,58,100,5.42,IN,1686446251
68,marsa alam,25.0757,34.8918,302.11,51,0,1.88,EG,1686446252
69,crane,31.3974,-102.3501,307.67,11,2,5.21,US,1686446252
70,agat village,13.3886,144.6585,303.91,85,20,5.66,GU,1686446252
71,klyuchi,52.2667,79.1667,288.37,65,2,2.73,RU,1686446252
72,udachny,66.4167,112.4,279.51,100,100,9.52,RU,1686446252
73,alaghsas,17.0187,8.0168,302.49,40,93,0.9,NE,1686446252
74,kapuskasing,49.4169,-82.4331,281.2,81,100,4.63,CA,1686446252
75,nova sintra,14.8667,-24.7167,295.39,81,32,8.12,CV,1686446252
76,new norfolk,-42.7826,147.0587,289.22,69,91,2.51,AU,1686446253
77,cidade velha,14.9167,-23.6167,298.41,69,0,7.2,CV,1686446253
78,ad dilam,23.9915,47.1627,303.38,14,0,2.09,SA,1686446253
79,linxia chengguanzhen,35.6003,103.2064,293.88,36,100,0.41,CN,1686446253
80,crucecita,-28.95,-58.9833,286.45,72,100,5.85,AR,1686446253
81,kununurra,-15.7667,128.7333,301.14,44,81,3.09,AU,1686446253
82,atafu village,-8.5421,-172.5159,301.79,77,98,5.13,TK,1686446253
83,lihue,21.9789,-159.3672,301.73,70,20,5.66,US,1686446075
84,punta arenas,-53.15,-70.9167,278.21,75,75,6.17,CL,1686446254
85,lebu,-37.6167,-73.65,281.17,76,7,5.21,CL,1686446254
86,east london,-33.0153,27.9116,286.59,63,0,3.81,ZA,1686446254
87,huai khot,15.2909,99.6166,302.06,82,100,1.91,TH,1686446254
88,port elizabeth,-33.918,25.5701,286.57,51,0,4.01,ZA,1686446254
89,port lincoln,-34.7333,135.8667,286.93,62,100,4.96,AU,1686446254
90,slavyanka,42.8633,131.3847,286.83,94,99,2.55,RU,1686446254
91,bireun,5.203,96.7009,299.94,63,100,1.77,ID,1686446254
92,cabo san lucas,22.8909,-109.9124,306.82,29,0,5.14,MX,1686445989
93,pathein,16.7833,94.7333,300.52,84,100,2.14,MM,1686446254
94,temuco,-38.7333,-72.6,274.02,94,8,0.68,CL,1686446255
95,tarawa,1.419,172.984,305.2,70,20,4.63,KI,1686446255
96,nanao,37.05,136.9667,295.0,93,100,1.92,JP,1686446255
97,ola,59.5833,151.2833,293.23,82,67,3.68,RU,1686446255
98,tangshan,39.6333,118.1833,296.71,37,78,2.68,CN,1686446255
99,susuman,62.7833,148.1667,292.25,46,15,2.87,RU,1686445981
100,caucete,-31.6518,-68.2811,281.81,26,3,3.92,AR,1686446255
101,yellowknife,62.456,-114.3525,292.44,68,100,2.06,CA,1686446255
102,yuanping,38.7153,112.7575,296.41,24,100,0.79,CN,1686446255
103,san antonio de pale,-1.4014,5.6325,298.39,80,100,4.89,GQ,1686446256
104,kushk,33.2957,61.9522,295.06,29,0,7.73,AF,1686446256
105,kushiro,42.975,144.3747,286.68,100,75,5.66,JP,1686446256
106,venice,27.0998,-82.4543,301.16,73,0,4.12,US,1686446080
107,vorgashor,67.5833,63.95,281.41,82,96,3.81,RU,1686446256
108,riberalta,-10.9833,-66.1,296.8,92,0,1.24,BO,1686446256
109,tura,25.5198,90.2201,298.28,86,81,1.94,IN,1686445957
110,ukiah,39.1502,-123.2078,301.09,31,0,3.09,US,1686446173
111,hermanus,-34.4187,19.2345,286.56,74,6,2.4,ZA,1686446257
112,strezhevoy,60.7333,77.5889,286.33,53,100,6.09,RU,1686446257
113,ubon ratchathani,15.1667,105.1667,303.14,84,100,3.09,TH,1686446257
114,badger,64.8,-147.5333,294.08,40,20,3.09,US,1686446257
115,starobil's'k,49.2783,38.9107,289.61,87,100,8.56,UA,1686446257
116,alice springs,-23.7,133.8833,291.9,23,75,4.12,AU,1686446173
117,plettenberg bay,-34.0527,23.3716,286.82,61,1,2.67,ZA,1686446257
118,tiksi,71.6872,128.8694,274.83,84,100,4.26,RU,1686446258
119,i-n-salah,27.1935,2.4607,306.71,10,0,4.42,DZ,1686446258
120,ippy,6.2679,21.2247,293.02,94,100,1.36,CF,1686446258
121,port mathurin,-19.6833,63.4167,297.17,77,38,9.68,MU,1686446258
122,naze,28.3667,129.4833,298.66,92,100,1.55,JP,1686446258
123,umba,66.6871,34.3429,279.66,75,100,2.07,RU,1686446258
124,nova vicosa,-17.8919,-39.3719,296.09,85,0,4.13,BR,1686446258
125,richfield,44.8833,-93.283,292.58,72,100,8.75,US,1686446222
126,sibolga,1.7427,98.7792,299.14,86,99,0.93,ID,1686446259
127,thulamahashi,-24.7246,31.1994,289.43,85,64,0.69,ZA,1686446259
128,egilsstadir,65.2653,-14.3948,277.1,87,0,2.06,IS,1686446259
129,juneau,58.3019,-134.4197,285.6,93,100,3.09,US,1686446259
130,gadzhiyevo,69.2551,33.3362,279.94,69,100,1.79,RU,1686446259
131,richards bay,-28.783,32.0377,288.1,73,0,1.88,ZA,1686446259
132,copala,16.65,-98.9833,301.86,68,46,2.54,MX,1686446259
133,santiago de cao,-7.9589,-79.2392,295.22,88,7,4.12,PE,1686446259
134,georgetown,5.4112,100.3354,303.11,82,20,1.03,MY,1686446102
135,san patricio,28.017,-97.5169,304.36,73,2,7.17,US,1686446260
136,enewetak,11.3474,162.3373,301.23,80,100,7.11,MH,1686446149
137,brookings,44.3114,-96.7984,295.15,68,40,7.2,US,1686446260
138,isafjordur,66.0755,-23.124,279.54,76,58,5.95,IS,1686446260
139,severo-yeniseyskiy,60.3725,93.0408,279.31,55,8,4.48,RU,1686446260
140,san pedro de ycuamandiyu,-24.0917,-57.0764,298.84,55,100,3.38,PY,1686446260
141,touros,-5.1989,-35.4608,297.84,83,6,5.25,BR,1686446260
142,sirte,31.2089,16.5887,296.78,59,8,5.57,LY,1686446261
143,uturoa,-16.7333,-151.4333,300.15,65,9,6.22,PF,1686446261
144,nuuk,64.1835,-51.7216,284.49,35,100,23.66,GL,1686446261
145,anna regina,7.2644,-58.5077,299.69,85,3,2.87,GY,1686446261
146,ilulissat,69.2167,-51.1,275.16,93,100,8.23,GL,1686446149
147,petrozavodsk,61.7849,34.3469,275.85,93,72,1.0,RU,1686446261
148,barkot,30.8167,78.2,295.77,54,100,1.66,IN,1686446261
149,callao,-12.0667,-77.15,295.31,73,100,5.66,PE,1686446101
150,port saint john's,-31.6229,29.5448,286.9,72,0,2.96,ZA,1686446261
151,bayanhongor,46.7167,100.1167,288.53,46,7,0.36,MN,1686446261
152,vilyuchinsk,52.9306,158.4028,293.3,48,34,2.54,RU,1686446262
153,olonkinbyen,70.9221,-8.7187,273.77,86,66,8.17,SJ,1686446262
154,chui,-33.6971,-53.4616,284.2,54,81,4.08,UY,1686445965
155,kyosai,34.8503,128.5886,296.13,93,100,2.9,KR,1686446262
156,cascais,38.6979,-9.4215,292.32,87,0,3.58,PT,1686446262
157,kodiak,57.79,-152.4072,280.88,87,100,8.23,US,1686446263
158,cabedelo,-6.9811,-34.8339,297.52,82,7,4.88,BR,1686446007
159,kone,-21.0595,164.8658,298.89,44,0,2.65,NC,1686446263
160,goroka,-6.0834,145.3873,295.81,75,60,0.51,PG,1686446264
161,hauterive,46.0901,3.4459,289.57,97,29,1.86,FR,1686446264
162,gebeit,21.0667,36.3167,305.29,23,96,0.22,SD,1686445985
163,oqtosh,39.9214,65.9253,297.92,32,0,5.06,UZ,1686446264
164,kidal,18.4411,1.4078,304.24,42,11,8.24,ML,1686446264
165,mhamid,29.82,-5.72,300.45,22,0,5.26,MA,1686446264
166,weno,7.4515,151.8468,303.12,79,100,1.03,FM,1686446264
167,srivardhan,18.0333,73.0167,301.3,77,23,5.74,IN,1686446264
168,sungai penuh,-2.0833,101.3833,293.97,87,17,0.59,ID,1686446264
169,tazovsky,67.4667,78.7,282.44,50,100,7.25,RU,1686445978
170,bredasdorp,-34.5322,20.0403,283.66,80,5,1.73,ZA,1686446265
171,longyearbyen,78.2186,15.6401,278.06,81,75,6.69,SJ,1686446265
172,say,13.1007,2.3689,302.46,38,100,4.05,NE,1686446265
173,taltal,-25.4,-70.4833,288.96,86,13,1.68,CL,1686446265
174,yichang,30.7144,111.2847,303.04,57,100,1.01,CN,1686446265
175,hotan,37.0997,79.9269,299.72,20,4,3.3,CN,1686446265
176,vila franca do campo,37.7167,-25.4333,289.38,80,7,3.32,PT,1686446265
177,pingxiang,27.6167,113.85,303.14,61,93,0.32,CN,1686446265
178,saipan,15.1355,145.701,304.54,100,40,5.66,MP,1686446265
179,mamuju,-2.6748,118.8885,302.03,73,67,1.32,ID,1686446266
180,ujae,8.9322,165.7642,301.08,78,100,6.75,MH,1686446266
181,penzance,50.1186,-5.5371,288.53,96,92,2.69,GB,1686446266
182,kongolo,-5.3833,27.0,295.21,62,11,0.89,CD,1686446266
183,sao jose da coroa grande,-8.8978,-35.1478,297.43,82,11,1.86,BR,1686446266
184,mount isa,-20.7333,139.5,298.02,25,0,4.12,AU,1686446266
185,yuxi,24.355,102.5422,291.63,58,100,1.05,CN,1686446266
186,namibe,-15.1961,12.1522,292.3,73,100,4.41,AO,1686446267
187,vadso,70.0744,29.7487,280.64,81,93,4.12,NO,1686446267
188,carnarvon,-24.8667,113.6333,293.62,58,0,5.05,AU,1686446267
189,newman,37.3138,-121.0208,301.34,53,100,1.34,US,1686446267
190,port augusta,-32.5,137.7667,289.36,49,0,4.89,AU,1686446267
191,aykhal,66.0,111.5,275.81,95,100,10.77,RU,1686446267
192,beyneu,45.3167,55.2,296.12,24,88,4.75,KZ,1686446267
193,midvagur,62.0511,-7.1939,283.61,93,100,3.09,FO,1686446267
194,utrik,11.2278,169.8474,300.93,80,98,7.63,MH,1686446268
195,katsuura,35.1333,140.3,296.76,88,100,3.22,JP,1686446268
196,el calafate,-50.3408,-72.2768,273.19,75,7,4.08,AR,1686446268
197,holualoa,19.6228,-155.9522,299.06,85,75,6.17,US,1686446268
198,kenai,60.5544,-151.2583,285.18,67,100,4.12,US,1686446268
199,kerikeri,-35.2268,173.9474,290.32,68,67,1.79,NZ,1686446268
200,huedin,46.8667,23.05,285.38,86,15,1.62,RO,1686446268
201,mandalgovi,45.7625,106.2708,292.51,26,73,1.86,MN,1686446268
202,arkalyk,50.2486,66.9114,289.89,45,0,2.9,KZ,1686446268
203,camilla,31.2313,-84.2105,301.18,72,100,4.05,US,1686446269
204,boa vista,2.8197,-60.6733,300.14,78,20,1.03,BR,1686446269
205,shitanjing,39.2342,106.3439,295.6,19,0,3.97,CN,1686446269
206,lompoc,34.6391,-120.4579,291.36,88,100,4.63,US,1686446269
207,bilibino,68.0546,166.4372,293.45,20,0,5.19,RU,1686446269
208,hithadhoo,-0.6,73.0833,301.35,75,54,2.7,MV,1686446269
209,bichura,50.5881,107.6022,297.7,30,78,0.92,RU,1686446269
210,kalemie,-5.9475,29.1947,295.48,72,64,0.48,CD,1686446269
211,mhangura,-16.8939,30.1683,288.83,44,62,1.67,ZW,1686446269
212,jalai nur,49.45,117.7,291.47,57,2,3.37,CN,1686446270
213,wailua homesteads,22.0669,-159.378,301.39,75,20,5.66,US,1686446270
214,qionghai,19.2425,110.4642,301.7,82,100,2.32,CN,1686446270
215,khor,47.8861,134.9464,293.61,65,0,1.44,RU,1686446270
216,fort-shevchenko,44.5086,50.263,298.71,28,29,10.88,KZ,1686446270
217,dahab,28.501,34.5134,301.27,44,0,4.66,EG,1686446270
218,fallon,39.4735,-118.7774,288.08,77,100,7.72,US,1686446270
219,zeya,53.75,127.2667,298.29,46,100,2.42,RU,1686446270
220,zhirnovsk,50.9845,44.7735,287.35,87,100,6.82,RU,1686446270
